<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
1923-6	197.09	111.67	14.82	-0.5	0	11.75	2.73	0
1923-7	220.42	125.83	17.36	-0.75	0	12.83	3.95	0
1923-12	216.67	128.89	16.51	0.67	33.33	10.92	4.18	0
413-13	186.67	80	22.01	-0.75	0	14	3.45	0
1923-18	184.58	88.75	14.82	-0.5	0	9.33	3.24	0
1923-22	180.42	98.75	18.63	-1.25	0	11.83	2.62	0
1924-2	196.67	87.22	24.13	0.33	0	11.89	4.22	0
1924-4	218.89	141.11	11.01	-0.33	0	11.11	3.13	0
409-4	187.08	102.92	17.36	-1	0	14.17	3.72	0
1924-7	194.17	115.42	16.09	0.25	0	11.67	3.55	0
1924-12	208.42	116.67	14.82	-2.5	0	9.25	3.23	0
1924-13	200.83	107.08	19.9	-0.75	0	12.42	3.69	0
1924-15	176.25	99.17	16.09	0.5	0	11.5	3	0
1924-19	219.44	139.44	14.39	-0.33	0	12.22	3.25	0
1924-21	191.11	106.11	15.24	0	0	12	3.75	0
410-9	174.58	100.42	16.09	-0.5	0	10.92	3.77	0
1925-1	214.58	122.08	11.01	-1.5	0	12.44	3.87	0
1925-2	217.08	116.67	14.39	0.25	0	9.75	4	0
1925-3	189.17	93.33	22.01	0	0	12	3.16	0
1925-4	183.33	102.5	17.36	-0.5	0	10.25	3.2	0
1925-6	199.58	110.83	27.52	-0.75	0	11.67	2.7	0
1925-7	200.56	115.55	18.2	0	0	13	2.54	0
410-14	195.42	113.33	24.13	-2.25	0	14.33	3.8	0
1925-11	192.78	110	11.43	-0.33	0	12.44	3.57	0
1925-12	202.5	109.17	16.09	0	0	13.67	3.94	0
1925-17	189.17	111.25	13.97	-0.75	0	10.5	3.42	0
1925-18	203.34	128.89	16.09	1.33	0	13	3.68	0
1925-22	227.08	135.83	18.2	-0.75	0	12.17	3.72	0
1926-1	211.25	120.83	11.85	-1.25	0	13.08	4.29	0
1926-2	202.5	107.5	13.55	-1	0	13.17	3.33	0
1926-5	199.44	105	17.78	0	0	10.44	4.11	0
1926-6	206.25	112.92	10.58	-1.5	0	15.17	3.97	0
1926-8	206.11	130.56	19.9	-0.67	0	10	3.06	0
1926-10	198.33	109.58	19.05	-1.25	0	12.67	3.13	0
1926-12	220.84	125.42	20.74	-1.5	0	13	3.94	0
1926-14	202.5	125.83	14.82	0	0	10.67	4.32	0
1926-15	172.5	91.67	10.16	-1	0	14.33	3.23	0
1926-18	185.42	96.25	16.51	-1.25	0	14.25	3.32	0
1926-19	232.08	136.67	12.7	-0.75	0	9.92	3.25	0
1926-20	205.42	111.67	15.66	-2.25	0	9.33	3.38	0
1927-4	182.92	94.58	15.24	-0.5	0	12.25	3.47	0
1927-6	215	136.67	11.85	-0.33	0	12.44	3.64	0
1927-7	199.45	102.22	22.01	-0.33	0	14.33	4.07	0
1927-16	215	127.92	22.44	-0.25	0	11.33	2.8	0
1927-17	190.83	116.67	17.78	-0.5	14.29	11.75	3.26	0
1927-19	231.67	140	16.09	-1.5	0	12.33	4.25	0
1927-20	195.83	114.58	19.05	-0.75	0	12.67	3.39	0
1927-21	216.67	142.91	12.28	-1.5	0	13.42	3.79	0
1927-22	205.42	106.67	15.66	-1	0	10.67	3.87	0
1927-23	187.5	96.25	16.09	-1	0	12.17	3.32	0
1928-2	174.58	101.25	12.28	-0.25	33.33	12.75	3.57	0
1928-4	214.17	132.5	14.39	-0.5	0	10	3.63	0
1928-5	201.67	117.92	12.28	0	0	12.67	3.27	0
1928-6	161.67	75.83	19.9	0.25	0	12.75	2.84	0
1928-7	179.45	107.22	12.7	-0.33	0	10.44	3.94	0
1928-8	175.42	95	15.24	0.25	0	10	3.1	0
1928-10	185	102.22	11.43	0.33	0	10.89	3.01	0
410-7	205.83	123.89	14.82	0	0	13.78	3.85	0
410-5	232.92	128.75	16.09	-1	0	14.67	4.39	0
1928-17	176.25	108.75	28.79	-1	5	14.17	3.58	0
1928-19	186.67	101.66	11.85	-0.25	0	14	4.26	0
1928-20	207.5	110.42	18.63	-0.75	0	14.08	5.05	0
1928-21	211.67	108.33	27.09	-0.25	0	13.08	4.14	0
1929-9	186.67	86.67	21.59	-1	0	11.67	3.46	0
1929-10	191.11	106.67	18.2	0	0	9.22	3.93	0
1929-11	213.33	129.58	20.74	-0.25	0	12.17	3.57	0
1929-12	199.58	109.58	18.63	-1	0	10.33	2.86	0
1929-13	185.56	93.89	19.05	0	0	10.22	3.08	0
1929-14	195	113.33	16.09	-1.25	0	10.58	3.09	0
1929-15	183.34	106.11	11.85	1	0	7.89	2.08	0
1929-16	225	132.5	10.16	-0.5	0	10.83	2.93	0
